word,valid_knot,initial_vertices,removed_vertices,final_vertices,result
ABACBABC,True,24,21,3,simplified_to_triangle
ABACBDCD,True,24,21,3,simplified_to_triangle
ABACDADC,True,24,21,3,simplified_to_triangle
ABACDBCD,True,24,21,3,simplified_to_triangle
ABACDCDC,True,24,21,3,simplified_to_triangle
ABADABCD,True,24,21,3,simplified_to_triangle
ABADACAD,True,24,21,3,simplified_to_triangle
ABADCACD,True,24,21,3,simplified_to_triangle
ABCADCBD,True,24,21,3,simplified_to_triangle
ABCADCDB,True,24,21,3,simplified_to_triangle
ABCBCDBD,True,24,21,3,simplified_to_triangle
ABCBDCAD,True,24,21,3,simplified_to_triangle
ABCDACBD,True,24,21,3,simplified_to_triangle
ABCDACDB,True,24,21,3,simplified_to_triangle
ABCDBCAD,True,24,21,3,simplified_to_triangle
ABCDBDCB,True,24,21,3,simplified_to_triangle
ABCDCDCB,True,24,21,3,simplified_to_triangle
ABDACACD,True,24,21,3,simplified_to_triangle
ABDACBDC,True,24,21,3,simplified_to_triangle
ABDACDBC,True,24,21,3,simplified_to_triangle
ABDADCAC,True,24,21,3,simplified_to_triangle
ABDBABDC,True,24,21,3,simplified_to_triangle
ABDBCADC,True,24,21,3,simplified_to_triangle
ABDBCBCD,True,24,21,3,simplified_to_triangle
ABDBCBDB,True,24,21,3,simplified_to_triangle
ABDBCDAC,True,24,21,3,simplified_to_triangle
ABDCACAD,True,24,21,3,simplified_to_triangle
ABDCBCBD,True,24,21,3,simplified_to_triangle
ABDCBCDB,True,24,21,3,simplified_to_triangle
ACACADBD,True,24,21,3,simplified_to_triangle
ACACBCBC,True,24,21,3,simplified_to_triangle
ACACDCAD,True,24,21,3,simplified_to_triangle
ACACDCDC,True,24,21,3,simplified_to_triangle
ACBCDCAD,True,24,21,3,simplified_to_triangle
ACBDBCDC,True,24,21,3,simplified_to_triangle
ADBCBCBD,True,24,21,3,simplified_to_triangle
ADBDADCD,True,24,21,3,simplified_to_triangle
ADBDCDBD,True,24,21,3,simplified_to_triangle
ADCDBDCD,True,24,21,3,simplified_to_triangle
ADCDCDCD,True,24,21,3,simplified_to_triangle
BCBCDCBD,True,24,21,3,simplified_to_triangle
BCBCDCDC,True,24,21,3,simplified_to_triangle
BDCDCDCD,True,24,21,3,simplified_to_triangle
